,Name,Address,Age,Type,Area1,Area2,Rooms,FloorNum,Tags,Price
110,古亭絕美電梯兩房,台北市中正區廈門街,1.6年,華廈,建坪 31.21,主+陽 18.01,2房2廳1衛,6樓/7樓,"['有裝潢', '有景觀', '前後陽台']","2,168"
111,鋼骨凱宴坡平車位,台北市中山區新生北路二段,4.5年,大樓,建坪 44.26,主+陽 9.93,1房1廳1衛,12樓/12樓,"['有裝潢', '有陽台', '廁所開窗']","2,230"
112,喜氣洋洋雙敦好寓,台北市松山區八德路三段,48.5年,公寓,建坪 34.56,主+陽 --,3房2廳2衛2室,3樓/4樓,"['前後陽台', '有陽台', '廁所開窗']","2,580"
113,權立方稀有露臺戶,台北市士林區天母西路,7.3年,華廈,建坪 124.43,主+陽 71.1,4房2廳4衛1室,3樓/7樓,"['有裝潢', '有景觀', '前後陽台']","12,800"
114,近家樂福幸福美屋,台北市北投區中和街,42.4年,公寓,建坪 22.72,主+陽 22.73,3房1廳1衛,4樓/5樓,"['有裝潢', '有景觀', '有陽台']","1,035"
115,電梯高樓明亮四房雙星儷廈,台北市松山區八德路四段,31.7年,大樓,建坪 43.59,主+陽 40.63,4房2廳2衛,10樓/12樓,"['有裝潢', '前後陽台', '有陽台']","3,699"
116,忠孝復興公寓三樓,台北市大安區大安路一段,48.8年,公寓,建坪 34.32,主+陽 34.32,3房2廳2衛1室,3樓/4樓,"['有裝潢', '前後陽台', '有陽台']","2,980"
117,時尚晶麒高樓美景,台北市萬華區康定路,4.7年,大樓,建坪 25.1,主+陽 12.69,1房1廳1衛,24樓/26樓,"['有裝潢', '有景觀', '有陽台']","1,480"
118,仁愛光復國館店面,台北市信義區光復南路,36.6年,店面/公寓,建坪 26.45,主+陽 --,2房2廳2衛,B1-1樓/5樓,"['有裝潢', '近公園', '近市場']","2,380"
119,夏悠宮遠眺河景夏悠宮,台北市文山區樟新街,12.9年,大樓,建坪 63.46,主+陽 39.23,3房2廳2衛1室,7樓/11樓,"['有裝潢', '有景觀', '前後陽台']","4,080"
120,大橋靜巷黃金一樓,台北市大同區伊寧街,40.0年,公寓,建坪 26.94,主+陽 --,2房2廳1衛,1樓/5樓,"['有裝潢', '近公園', '近捷運']","1,480"
